n,layers,expected_f_n
145,"[1, 3, 7, 15, 36, 83]",0.287346
146,"[1, 3, 7, 16, 36, 83]",0.287380
147,"[1, 3, 7, 16, 36, 84]",0.287427
148,"[1, 3, 7, 16, 36, 85]",0.287459
149,"[1, 3, 7, 16, 37, 85]",0.287508
150,"[1, 3, 7, 16, 37, 86]",0.287544
151,"[1, 3, 7, 16, 38, 86]",0.287573
152,"[1, 3, 7, 16, 38, 87]",0.287612
153,"[1, 3, 7, 17, 38, 87]",0.287643
154,"[1, 3, 7, 17, 38, 88]",0.287684
155,"[1, 3, 7, 17, 38, 89]",0.287713
156,"[1, 3, 7, 17, 39, 89]",0.287750
157,"[1, 3, 7, 17, 39, 90]",0.287782
158,"[1, 3, 8, 17, 39, 90]",0.287814
159,"[1, 3, 8, 17, 39, 91]",0.287849
160,"[1, 3, 8, 17, 40, 91]",0.287879
161,"[1, 3, 8, 17, 40, 92]",0.287916
162,"[1, 3, 8, 17, 40, 93]",0.287942
163,"[1, 3, 8, 18, 40, 93]",0.287975
164,"[1, 3, 8, 18, 40, 94]",0.288003
165,"[1, 3, 8, 18, 41, 94]",0.288040
166,"[1, 3, 8, 18, 41, 95]",0.288071
167,"[1, 3, 8, 18, 42, 95]",0.288093
168,"[1, 3, 8, 18, 42, 96]",0.288126
169,"[1, 1, 3, 8, 18, 42, 96]",0.288155
170,"[1, 1, 3, 8, 18, 42, 97]",0.288191
171,"[1, 1, 3, 8, 18, 42, 98]",0.288216
172,"[1, 1, 3, 8, 18, 43, 98]",0.288244
173,"[1, 1, 3, 8, 18, 43, 99]",0.288272
174,"[1, 1, 3, 8, 19, 43, 99]",0.288302
175,"[1, 1, 3, 8, 19, 43, 100]",0.288332
176,"[1, 1, 3, 8, 19, 44, 100]",0.288355
177,"[1, 1, 3, 8, 19, 44, 101]",0.288387
178,"[1, 1, 3, 8, 19, 44, 102]",0.288410
179,"[1, 1, 4, 8, 19, 44, 102]",0.288432
180,"[1, 1, 4, 8, 19, 44, 103]",0.288457
181,"[1, 1, 4, 8, 19, 45, 103]",0.288486
182,"[1, 1, 4, 8, 19, 45, 104]",0.288513
183,"[1, 1, 4, 8, 20, 45, 104]",0.288533
184,"[1, 1, 4, 8, 20, 45, 105]",0.288563
185,"[1, 1, 4, 8, 20, 46, 105]",0.288586
186,"[1, 1, 4, 8, 20, 46, 106]",0.288617
187,"[1, 1, 4, 8, 20, 46, 107]",0.288640
188,"[1, 1, 4, 8, 20, 47, 107]",0.288661
189,"[1, 1, 4, 8, 20, 47, 108]",0.288686
190,"[1, 1, 4, 9, 20, 47, 108]",0.288711
191,"[1, 1, 4, 9, 20, 47, 109]",0.288737
192,"[1, 1, 4, 9, 20, 47, 110]",0.288756
193,"[1, 1, 4, 9, 20, 48, 110]",0.288782
194,"[1, 1, 4, 9, 20, 48, 111]",0.288803
195,"[1, 1, 4, 9, 21, 48, 111]",0.288832
196,"[1, 1, 4, 9, 21, 48, 112]",0.288854
197,"[1, 1, 4, 9, 21, 49, 112]",0.288876
198,"[1, 1, 4, 9, 21, 49, 113]",0.288900
199,"[1, 1, 4, 9, 21, 49, 114]",0.288917
200,"[1, 1, 4, 9, 22, 49, 114]",0.288937
201,"[1, 1, 4, 9, 22, 49, 115]",0.288956
202,"[1, 1, 4, 9, 22, 50, 115]",0.288982
203,"[1, 1, 4, 9, 22, 50, 116]",0.289003
204,"[1, 1, 4, 9, 22, 51, 116]",0.289019
205,"[1, 1, 4, 9, 22, 51, 117]",0.289041
206,"[1, 1, 4, 10, 22, 51, 117]",0.289061
207,"[1, 1, 4, 10, 22, 51, 118]",0.289084
208,"[1, 1, 4, 10, 22, 51, 119]",0.289101
209,"[1, 1, 4, 10, 22, 52, 119]",0.289122
210,"[1, 1, 4, 10, 22, 52, 120]",0.289141
211,"[1, 1, 4, 10, 23, 52, 120]",0.289160
212,"[1, 1, 4, 10, 23, 52, 121]",0.289180
213,"[1, 1, 4, 10, 23, 53, 121]",0.289197
214,"[1, 1, 4, 10, 23, 53, 122]",0.289219
215,"[1, 1, 4, 10, 23, 53, 123]",0.289234
216,"[1, 2, 4, 10, 23, 53, 123]",0.289251
217,"[1, 2, 4, 10, 23, 53, 124]",0.289268
218,"[1, 2, 4, 10, 23, 54, 124]",0.289289
219,"[1, 2, 4, 10, 23, 54, 125]",0.289307
220,"[1, 2, 4, 10, 24, 54, 125]",0.289320
221,"[1, 2, 4, 10, 24, 54, 126]",0.289340
222,"[1, 2, 4, 10, 24, 55, 126]",0.289358
223,"[1, 2, 4, 10, 24, 55, 127]",0.289379
224,"[1, 2, 4, 10, 24, 55, 128]",0.289394
225,"[1, 2, 4, 10, 24, 56, 128]",0.289411
226,"[1, 2, 4, 10, 24, 56, 129]",0.289428
227,"[1, 2, 4, 11, 24, 56, 129]",0.289441
228,"[1, 2, 4, 11, 24, 56, 130]",0.289460
229,"[1, 2, 4, 11, 24, 57, 130]",0.289473
230,"[1, 2, 4, 11, 24, 57, 131]",0.289492
231,"[1, 2, 4, 11, 24, 57, 132]",0.289507
232,"[1, 2, 4, 11, 25, 57, 132]",0.289526
233,"[1, 2, 4, 11, 25, 57, 133]",0.289541
234,"[1, 2, 4, 11, 25, 58, 133]",0.289558
235,"[1, 2, 4, 11, 25, 58, 134]",0.289575
236,"[1, 2, 4, 11, 25, 58, 135]",0.289587
237,"[1, 2, 4, 11, 25, 59, 135]",0.289602
238,"[1, 2, 4, 11, 25, 59, 136]",0.289615
239,"[1, 2, 4, 11, 26, 59, 136]",0.289633
240,"[1, 2, 4, 11, 26, 59, 137]",0.289648
241,"[1, 2, 4, 11, 26, 60, 137]",0.289661
242,"[1, 2, 4, 11, 26, 60, 138]",0.289676
243,"[1, 2, 5, 11, 26, 60, 138]",0.289693
244,"[1, 2, 5, 11, 26, 60, 139]",0.289710
245,"[1, 2, 5, 11, 26, 60, 140]",0.289722
246,"[1, 2, 5, 11, 26, 61, 140]",0.289738
247,"[1, 2, 5, 11, 26, 61, 141]",0.289751
248,"[1, 2, 5, 11, 27, 61, 141]",0.289764
249,"[1, 2, 5, 11, 27, 61, 142]",0.289778
250,"[1, 2, 5, 11, 27, 62, 142]",0.289792
251,"[1, 2, 5, 11, 27, 62, 143]",0.289807
252,"[1, 2, 5, 11, 27, 62, 144]",0.289818
253,"[1, 2, 5, 12, 27, 62, 144]",0.289833
254,"[1, 2, 5, 12, 27, 62, 145]",0.289845
255,"[1, 2, 5, 12, 27, 63, 145]",0.289862
256,"[1, 2, 5, 12, 27, 63, 146]",0.289875
257,"[1, 2, 5, 12, 27, 64, 146]",0.289885
258,"[1, 2, 5, 12, 27, 64, 147]",0.289899
259,"[1, 2, 5, 12, 28, 64, 147]",0.289912
260,"[1, 2, 5, 12, 28, 64, 148]",0.289927
261,"[1, 2, 5, 12, 28, 64, 149]",0.289938
262,"[1, 2, 5, 12, 28, 65, 149]",0.289951
263,"[1, 2, 5, 12, 28, 65, 150]",0.289964
264,"[1, 2, 5, 12, 29, 65, 150]",0.289972
265,"[1, 2, 5, 12, 29, 65, 151]",0.289985
266,"[1, 2, 5, 12, 29, 66, 151]",0.289996
267,"[1, 2, 5, 12, 29, 66, 152]",0.290010
268,"[1, 2, 5, 12, 29, 66, 153]",0.290020
269,"[1, 2, 5, 13, 29, 66, 153]",0.290033
270,"[1, 2, 5, 13, 29, 66, 154]",0.290044
271,"[1, 2, 5, 13, 29, 67, 154]",0.290058
272,"[1, 2, 5, 13, 29, 67, 155]",0.290070
273,"[1, 2, 5, 13, 29, 67, 156]",0.290078
274,"[1, 2, 5, 13, 29, 68, 156]",0.290091
275,"[1, 2, 5, 13, 29, 68, 157]",0.290100
276,"[1, 2, 5, 13, 30, 68, 157]",0.290113
277,"[1, 2, 5, 13, 30, 68, 158]",0.290124
278,"[1, 2, 5, 13, 30, 69, 158]",0.290134
279,"[1, 2, 5, 13, 30, 69, 159]",0.290146
280,"[1, 2, 6, 13, 30, 69, 159]",0.290158
281,"[1, 2, 6, 13, 30, 69, 160]",0.290171
282,"[1, 2, 6, 13, 30, 69, 161]",0.290179
283,"[1, 2, 6, 13, 30, 70, 161]",0.290192
284,"[1, 2, 6, 13, 30, 70, 162]",0.290202
285,"[1, 2, 6, 13, 31, 70, 162]",0.290211
286,"[1, 2, 6, 13, 31, 70, 163]",0.290222
287,"[1, 2, 6, 13, 31, 71, 163]",0.290233
288,"[1, 2, 6, 13, 31, 71, 164]",0.290245
289,"[1, 2, 6, 13, 31, 71, 165]",0.290253
290,"[1, 2, 6, 13, 31, 72, 165]",0.290263
291,"[1, 2, 6, 13, 31, 72, 166]",0.290272
292,"[1, 2, 6, 14, 31, 72, 166]",0.290284
293,"[1, 2, 6, 14, 31, 72, 167]",0.290294
294,"[1, 2, 6, 14, 31, 73, 167]",0.290302
295,"[1, 2, 6, 14, 31, 73, 168]",0.290313
296,"[1, 2, 6, 14, 32, 73, 168]",0.290322
297,"[1, 2, 6, 14, 32, 73, 169]",0.290334
298,"[1, 2, 6, 14, 32, 73, 170]",0.290342
299,"[1, 2, 6, 14, 32, 74, 170]",0.290353
300,"[1, 2, 6, 14, 32, 74, 171]",0.290362
